"no";"nik";"tanggal";"waktu";"event";"status"
"103";"K912107963";"2022-03-29";"07:22:15";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"104";"P922100077";"2022-03-29";"07:22:37";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"105";"P802000051";"2022-03-29";"07:22:50";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"106";"K782009238";"2022-03-29";"07:23:01";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"107";"K912207963";"2022-03-29";"07:23:32";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"108";"K982109238";"2022-03-29";"07:23:33";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"109";"K872207963";"2022-03-29";"07:24:40";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"110";"K942107962";"2022-03-29";"07:24:43";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"111";"P78622";"2022-03-29";"07:24:58";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"112";"K832107962";"2022-03-29";"07:25:29";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"113";"k932000046";"2022-03-29";"07:26:36";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"114";"P811900022";"2022-03-29";"07:27:16";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"115";"P782000065";"2022-03-29";"07:27:25";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"116";"K932107963";"2022-03-29";"07:27:41";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"117";"K932109238";"2022-03-29";"07:30:43";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"118";"K822010000";"2022-03-29";"07:30:49";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"119";"P771900014";"2022-03-29";"07:33:10";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"120";"P882000053";"2022-03-29";"07:33:18";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"121";"P791900025";"2022-03-29";"07:33:43";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"122";"P881900005";"2022-03-29";"07:34:03";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"123";"P932000054";"2022-03-29";"07:39:14";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"124";"P821900034";"2022-03-29";"07:39:25";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"125";"K932207962";"2022-03-29";"07:40:01";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"126";"P721900028";"2022-03-29";"07:40:22";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"127";"P80021";"2022-03-29";"07:40:43";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"128";"P80906";"2022-03-29";"07:40:55";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"129";"P80064";"2022-03-29";"07:41:07";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"130";"P891900050";"2022-03-29";"07:41:29";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"131";"P741900033";"2022-03-29";"07:42:37";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"132";"P78581";"2022-03-29";"07:43:19";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"133";"P77267";"2022-03-29";"07:44:00";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"134";"P841900002";"2022-03-30";"06:46:25";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"135";"K942107962";"2022-03-30";"06:51:06";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"136";"P802000051";"2022-03-30";"06:53:45";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"137";"K862108999";"2022-03-30";"06:54:18";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"138";"P721900016";"2022-03-30";"07:21:17";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"139";"P782000065";"2022-03-30";"07:21:18";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"140";"K932000046";"2022-03-30";"07:22:50";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"141";"P721900028";"2022-03-30";"07:25:11";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"142";"P802100079";"2022-03-30";"07:25:12";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"143";"P801900038";"2022-03-30";"07:25:22";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"144";"K902107963";"2022-03-30";"07:25:51";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"145";"P842000072";"2022-03-30";"07:26:02";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"146";"K862207962";"2022-03-30";"07:26:15";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"147";"K812107962";"2022-03-30";"07:26:26";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"148";"P842100083";"2022-03-30";"07:26:38";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"149";"P772000061";"2022-03-30";"07:26:48";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"150";"K872107936";"2022-03-30";"07:27:14";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"151";"P811900022";"2022-03-30";"07:27:32";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"152";"P791900025";"2022-03-30";"07:28:19";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"153";"K782009238";"2022-03-30";"07:28:28";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"154";"K872207962";"2022-03-30";"07:28:33";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"155";"K912207963";"2022-03-30";"07:28:37";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"156";"P741900033";"2022-03-30";"07:28:40";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"157";"K822000007";"2022-03-30";"07:28:41";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"158";"P812000060";"2022-03-30";"07:29:11";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"159";"K932107963";"2022-03-30";"07:29:40";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"160";"P862000064";"2022-03-30";"07:29:41";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"161";"K992107962";"2022-03-30";"07:29:59";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"162";"P882000053";"2022-03-30";"07:30:19";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"163";"P911900048";"2022-03-30";"07:30:55";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"164";"P771900014";"2022-03-30";"07:31:25";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"165";"K832107962";"2022-03-30";"07:32:03";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"166";"P78622";"2022-03-30";"07:32:19";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"167";"P77267";"2022-03-30";"07:32:37";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"168";"P821900034";"2022-03-30";"07:32:46";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"169";"K772107962";"2022-03-30";"07:33:03";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"170";"P80064";"2022-03-30";"07:33:15";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"171";"P78581";"2022-03-30";"07:33:20";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"172";"P922100077";"2022-03-30";"07:34:14";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"173";"K932109238";"2022-03-30";"07:34:28";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"174";"K912107963";"2022-03-30";"07:34:38";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"175";"K982109238";"2022-03-30";"07:34:51";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"176";"K872207963";"2022-03-30";"07:36:28";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"177";"P672000062";"2022-03-30";"07:37:25";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"178";"K972207963";"2022-03-30";"07:37:49";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"179";"K932207962";"2022-03-30";"07:40:12";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"180";"P721900032";"2022-03-30";"07:40:42";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"181";"P80021";"2022-03-30";"07:40:55";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"182";"P80906";"2022-03-30";"07:41:07";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"183";"P861900044";"2022-03-30";"07:41:22";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"184";"P881900005";"2022-03-30";"07:41:40";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"185";"P891900050";"2022-03-30";"07:41:57";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"186";"P932000054";"2022-03-30";"07:42:12";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"187";"K822010000";"2022-03-30";"08:10:04";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"188";"K772107962";"2023-01-05";"17:05:38";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"189";"K772107962";"2023-01-19";"22:13:47";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"190";"K772107962";"2023-01-20";"08:41:28";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"191";"P821900034";"2023-01-20";"09:35:00";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"192";"K902207962";"2023-01-20";"14:32:35";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"193";"K902207962";"2023-01-24";"08:41:21";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"194";"K902207962";"2023-01-24";"11:56:37";"Rakernas PT PESONNA OPTIMA JASA Tahun 2023";"Hadir"
